time,value
1519906000,152.210075
1519906000,210
1519948000,127.991291
1519948000,423
1519948000,120.5172
1519949000,121.496755
1519949000,1231
1519949000,122.182032
1519950000,122.63659
1519950000,119.907761
1519950000,118.692872
1519951000,113.343814
1519951000,112.176958
1519951000,108.315039
1519952000,100.974611
1519952000,101.643309
1519952000,95.157237
1519952000,112.1119
1519953000,111.985556
1519953000,104.228646
1519953000,102.500739
1519954000,102.521604
1519954000,99.824248
1519954000,96.33054
1519954000,91.246611
1519955000,91.269171
1519955000,94.142757
1519955000,96.488315
1519956000,95.290419
1519956000,99.561469
1519956000,92.289264
1519957000,97.215443
1519957000,96.827685
1519957000,95.734539
1519958000,89.560564
1519958000,82.516
1519958000,82.820815
1519958000,84.643197
1519959000,80.172922
1519959000,80.132508
1519959000,76.931364
1519960000,76.929855
1519960000,89.864722
1519960000,89.448527
1519960000,89.57499
1519961000,88.809181
1519961000,87.989125
1519961000,88.704115
1519962000,85.061852
1519962000,82.972372
1519962000,77.765975
1519963000,77.570672
1519963000,76.305895
1519963000,76.202977
1519964000,75.497743
1519964000,75.607438
1519965000,75.953959
1519965000,75.195569
1519966000,79.045108
1519966000,87.708772
1519966000,86.784128
1519966000,91.221783
1519967000,89.012171
1519968000,76.614559
1519969000,82.470052
1519969000,79.704702
1519969000,80.381745
1519970000,81.711077
1519970000,84.573114
1519970000,92.012629
1519970000,94.322713
1519971000,101.004785
1519971000,106.500101
1519971000,115.980543
1519972000,105.606427
1519972000,110.811541
1519972000,117.056504
1519972000,117.230372
1519973000,121.351045
1519973000,108.982441
1519973000,134.789637
1519974000,138.321082
1519974000,149.716743
1519974000,151.317307
1519975000,143.360238
1519975000,147.230057
1519975000,152.05325
1519976000,155.536288
1519976000,157.415347
1519976000,162.130963
1519976000,162.739829
1519977000,159.250574
1519977000,165.661642
1519977000,165.752909
1519978000,177.652193
1519978000,178.25938
1519978000,174.948824
1519978000,173.585932
1519979000,172.70083
1519979000,174.448779
1519979000,175.0231
1519980000,175.208782
1519980000,176.336605
1519980000,176.207833
1519981000,175.163925
1519981000,174.43017
1519981000,174.149431
1519982000,175.477164
1519982000,174.597789
1519982000,173.767356
1519982000,171.710363
1519983000,173.363691
1519983000,170.385104
1519983000,173.478731
1519984000,172.764388
1519984000,173.723951
1519984000,168.941735
1519984000,168.251562
1519985000,167.423603
1519985000,167.064266
1519985000,165.804641
1519986000,164.497211
1519986000,162.426259
1519986000,159.340275
1519987000,155.575134
1519987000,150.63239
1519987000,151.655997
1519988000,151.817442
1519988000,168.607596
1519988000,147.76625
1519988000,147.483842
1519989000,149.552342
1519989000,148.5856
1519989000,146.99911
1519990000,139.667235
1519990000,141.630509
1519990000,149.384917
1519990000,146.137144
1519991000,144.685075
1519991000,145.358669
1519991000,146.108842
1519992000,143.334007
1519992000,144.909278
1519992000,144.914723
1519993000,141.398062
1519993000,137.979371
1519993000,129.473643
1519994000,133.506688
1519994000,136.74102
1519994000,129.382067
1519994000,135.68943
1519995000,136.175093
1519995000,135.313022
1519995000,136.822453
1519996000,132.927405
1519996000,128.550203
1519996000,138.202091
1519996000,137.099571
1519997000,137.685511
1519997000,135.748982
1519997000,133.408635
1519998000,127.635738
1519998000,129.837176
1519998000,128.08541
1519999000,131.346578
1519999000,129.591349
1519999000,129.708176
1520000000,134.11223
1520000000,133.575368
1520000000,127.079324
1520000000,123.593641
1520001000,125.354441
1520001000,124.175979
1520001000,130.067202
1520002000,129.945589
1520002000,130.002503
1520002000,127.271005
1520002000,129.539916
1520003000,127.894063
1520003000,125.04095
1520003000,118.98844
1520004000,120.184464
1520004000,126.737666
1520004000,128.512834
1520005000,127.421522
1520005000,128.806487
1520005000,130.514455
1520006000,130.033969
1520006000,129.157685
1520006000,127.273554
1520006000,126.894419
1520007000,125.809505
1520007000,128.152715
1520007000,138.744278
1520008000,128.158974
1520008000,127.716115
1520008000,127.184662
1520008000,126.15687
1520009000,126.125414
1520009000,123.844094
1520009000,129.055351
1520010000,131.425084
1520010000,132.020482
1520011000,124.944911
1520011000,133.952582
1520012000,135.183205
1520012000,136.678438
1520012000,139.953197
1520012000,139.371678
1520013000,140.314312
1520013000,141.394051
1520013000,139.965922
1520014000,142.318744
1520014000,141.91415
1520014000,143.492363
1520014000,145.639723
1520015000,147.851258
1520015000,142.165431
1520015000,144.096981
1520016000,139.729128
1520016000,148.402035
1520017000,149.371714
1520017000,150.101186
1520018000,146.403088
1520018000,147.825401
1520018000,148.584379
1520019000,152.802352
1520019000,151.348227
1520019000,152.907957
1520020000,149.185592
1520020000,149.174751
1520021000,150.750504
1520021000,152.192536
1520021000,146.948095
1520022000,147.292797
1520022000,148.610926
1520022000,146.436163
1520023000,146.081486
1520023000,148.510722
1520023000,146.823569
1520024000,138.454793
1520024000,141.219983
1520024000,143.221323
1520025000,140.809778
1520025000,147.319874
1520025000,146.464998
1520026000,142.579729
1520026000,143.173192
1520026000,141.987084
1520026000,140.151951
1520027000,134.571273
1520027000,140.274925
1520027000,150.521252
1520028000,146.428931
1520028000,137.972654
1520028000,134.578611
1520029000,130.257915
1520029000,132.468234
1520029000,135.028727
1520030000,137.670148
1520030000,137.886441
1520030000,138.636336
1520030000,139.37393
1520031000,131.312497
1520031000,128.746177
1520031000,129.718006
1520032000,130.734829
1520032000,130.73591
1520032000,130.598742
1520032000,131.253148
1520033000,127.601745
1520033000,123.599719
1520033000,127.370724
1520034000,129.155854
1520034000,127.538346
1520034000,126.638676
1520035000,126.799641
,126.323798
,118.130065
,117.694563
,115.687796
,113.03516
,111.475705
,112.533113
,119.523744
,113.231293
,109.56145
,110.285445
,107.256304
,106.428165
,104.505665
,98.037554
1520039000,97.977343
1520040000,92.725149
1520040000,95.001743
1520040000,99.72248
1520041000,101.391274
1520041000,105.334913
1520041000,103.010723
1520042000,97.005914
1520042000,95.664478
1520042000,94.630003
1520042000,94.941835
1520043000,91.799984
1520043000,89.779693
1520043000,89.25338
1520044000,89.843517
1520044000,89.60053
1520044000,88.179246
1520044000,88.010877
1520045000,90.401489
1520045000,93.40775
1520045000,95.137235
1520046000,94.274512
1520046000,91.258417
1520046000,84.150249
1520047000,89.630195
1520047000,85.745776
1520047000,83.595832
1520048000,73.319732
1520048000,70.502377
1520048000,77.434785
1520048000,80.31455
1520049000,
1520049000,
1520049000,
1520050000,
1520050000,
1520050000,
1520050000,
1520051000,
1520051000,
1520051000,
1520052000,
1520052000,
1520052000,
1520053000,
1520053000,
1520053000,
1520054000,
1520054000,
1520054000,
1520054000,
1520055000,
1520055000,
1520055000,
1520056000,89.604732
1520056000,83.770977
1520056000,84.008457
1520056000,85.548856
1520057000,82.435234
1520057000,76.65434
1520057000,79.614529
1520058000,86.849117
1520058000,89.270008
1520058000,93.819849
1520059000,94.94822
1520059000,96.575231
1520059000,96.344475
1520060000,98.401227
1520060000,91.825221
1520060000,92.174752
1520060000,92.905553
1520061000,93.768974
1520061000,97.821713
1520061000,99.584866
1520062000,99.760243
1520062000,108.184109
1520062000,108.418788
1520062000,112.251547
1520063000,119.376541
1520063000,121.441799
1520063000,128.568927
1520064000,132.449732
1520064000,133.927522
1520064000,131.32412
1520065000,132.488464
1520065000,147.852074
1520065000,146.918389
1520066000,145.382032
1520066000,147.817691
1520066000,150.177446
1520066000,153.776518
1520067000,166.623631
1520067000,161.391057
1520067000,167.389542
1520068000,172.02249
1520068000,170.638028
1520068000,174.061546
1520068000,188.8962
1520069000,186.684745
1520069000,188.933566
1520069000,191.452662
1520070000,193.994708
1520070000,198.605796
1520070000,205.912029
1520071000,209.908715
1520071000,205.165121
1520071000,207.932192
1520072000,209.516724
1520072000,209.998191
1520072000,208.737235
1520072000,211.414854
1520073000,211.696107
1520073000,209.315355
1520073000,209.71771
1520074000,200.676674
1520074000,206.45796
1520074000,210.109301
1520074000,206.359713
1520075000,207.604774
1520075000,208.574755
1520075000,204.12631
1520076000,204.853784
1520076000,200.201353
1520076000,199.153101
1520077000,200.142124
1520077000,199.478676
1520077000,199.48835
1520078000,198.268178
1520078000,190.858455
1520078000,197.599267
1520078000,194.525507
1520079000,192.41696
1520079000,191.142117
1520079000,201.164511
1520080000,183.73453
1520080000,182.503576
1520080000,181.674303
1520080000,182.018749
1520081000,192.012507
1520081000,189.965073
1520081000,185.473818
1520082000,184.712347
1520082000,177.23989
1520082000,178.94813
1520083000,182.281595
1520083000,180.068602
1520083000,177.64091
1520084000,167.802649
1520084000,168.239147
1520084000,167.606689
1520084000,168.624058
1520085000,168.404834
1520085000,168.587478
1520085000,167.432641
1520086000,166.568051
1520086000,162.479049
1520086000,161.684792
1520086000,162.149586
1520087000,161.60603
1520087000,164.441477
1520087000,163.061421
1520088000,162.248359
1520088000,159.794082
1520088000,161.966103
1520089000,160.544755
1520089000,158.992807
1520089000,155.367807
1520090000,154.597922
1520090000,147.760481
1520090000,146.793622
1520090000,155.691329
1520091000,142.244125
1520091000,152.684636
1520091000,150.470848
1520092000,148.724734
1520092000,147.030757
1520092000,143.81615
1520092000,144.335917
1520093000,151.531551
1520093000,151.935257
1520093000,151.245388
1520094000,142.482871
1520094000,143.891172
1520094000,145.272258
1520095000,136.568342
1520095000,149.773801
1520095000,146.050254
1520096000,148.66003
1520096000,135.952362
1520096000,137.635406
1520096000,139.320998
1520097000,144.041193
1520097000,146.809983
1520097000,148.941335
1520098000,152.528156
1520098000,150.968536
1520098000,144.58246
1520098000,144.5083
1520099000,139.376043
1520099000,149.986582
1520099000,149.986337
1520100000,150.289058
1520100000,148.395729
1520100000,148.836114
1520101000,149.77885
1520101000,146.053938
1520101000,148.793711
1520102000,152.386182
1520102000,149.737017
1520102000,150.278303
1520102000,152.5782
1520103000,150.961891
1520103000,150.874211
1520103000,148.114794
1520104000,152.559856
1520104000,154.087301
1520104000,
1520104000,
1520105000,
1520105000,
1520105000,
1520106000,
1520106000,
1520106000,
1520107000,
1520107000,
1520107000,
1520108000,
1520108000,
1520108000,148.155111
1520108000,146.869195
1520109000,141.904982
1520109000,140.238067
1520109000,135.783756
1520110000,143.689242
1520110000,144.813878
1520110000,140.488985
1520110000,141.675922
1520111000,140.501242
1520111000,139.740155
1520111000,138.652868
1520112000,131.957645
1520112000,136.961846
1520112000,133.494663
1520113000,138.121298
1520113000,134.30527
1520113000,134.741597
1520114000,135.511581
1520114000,130.473898
1520114000,130.553812
1520114000,127.48814
1520115000,134.796038
1520115000,135.366459
1520115000,137.454338
1520116000,136.568112
1520116000,132.093415
1520116000,126.213728
1520116000,128.15523
